name;birthdate;email;phone
Francisca Gabriela Fernandes Ferreira;19-01-1953;francisca.422.gabriela@gmail.com;924040453
Beatriz Alexandra Ribeiro Cunha;10-05-1950;beatriz.426.alexandra@outlook.com;977342153
Filipe Leandro Lima Gonçalves;23-11-2003;filipe.855.leandro@outlook.com;982858385
Inês Teresa Barros Castro;15-01-1968;in.701.teresa@hotmail.com;998359433
Rosa Laura Araújo Matos;12-04-1969;rosa.132.laura@gmail.com;947595041
Gabriel Rafael Matos Neves;06-09-2000;gabriel.822.rafael@microsoft.com;933172351
Luís Rúben Araújo Silva;08-12-2001;lu.353.ren@outlook.com;905824896
Luciana Rita Costa Faria;13-08-1980;luciana.998.rita@hotmail.com;901094336
Miguel Lourenço Guerreiro Ribeiro;05-07-1988;miguel.93.louren@hotmail.com;980424744
Hugo Matias Soares Faria;15-06-1960;hugo.87.matias@outlook.com;994322040
Sara Rosa Henriques Sousa;14-01-1978;sara.358.rosa@outlook.com;960455241
Guilherme Nuno Cruz Vieira;08-11-1992;guilherme.871.nuno@outlook.com;908501005
Santiago Leonardo Costa Rodrigues;09-08-1999;santiago.296.leonardo@hotmail.com;927086814
Mariana Gabriela Soares Figueiredo;14-02-1994;mariana.257.gabriela@microsoft.com;947070644
André Matias Simões Rodrigues;01-11-1967;andr.670.matias@hotmail.com;951442612
Margarida Sara Mendes Cruz;28-12-1974;margarida.694.sara@hotmail.com;934370623
Samuel Pedro Vieira Jesus;15-01-1951;samuel.373.pedro@hotmail.com;927395540
Alexandra Aurora Rodrigues Pinto;14-05-1960;alexandra.492.aurora@microsoft.com;900663309
Daniela Carolina Henriques Lourenço;18-05-1965;daniela.106.carolina@microsoft.com;917509782
Laura Teresa Miranda Neves;13-02-1985;laura.643.teresa@gmail.com;939315214
Rafael Rúben Batista Sousa;19-06-1967;rafael.70.ren@outlook.com;965196895
Filipe Dinis Raposo Carvalho;19-09-2002;filipe.332.dinis@hotmail.com;993683378
Lara Amélia Machado Neves;16-12-2001;lara.374.amia@hotmail.com;918241566
Catarina Emília Silva Carvalho;01-01-1990;catarina.853.emia@gmail.com;970959654
Amélia Inês Alves Matos;10-09-1997;amia.259.in@outlook.com;920690035
Duarte João Lourenço Soares;15-12-1988;duarte.41.jo@hotmail.com;940083219
Salvador Manuel Gomes Alves;23-07-2003;salvador.987.manuel@gmail.com;962809112
Francisco Gonçalo Tavares Nunes;19-07-1985;francisco.571.gonlo@outlook.com;901886864
Matilde Maria Ramos Lourenço;19-08-1982;matilde.648.maria@gmail.com;966447601
Lara Rosa Rodrigues Alves;12-01-1999;lara.800.rosa@gmail.com;928453471
Filipe Vicente Lourenço Antunes;27-03-1950;filipe.853.vicente@gmail.com;960877479
João Vicente Guerreiro Nunes;05-02-1988;jo.416.vicente@gmail.com;993471049
Joana Diana Pereira Pinto;21-02-1957;joana.336.diana@gmail.com;986582152
Raquel Beatriz Ferreira Lopes;13-11-1958;raquel.909.beatriz@gmail.com;984157020
Rui Matias Freitas Sousa;21-05-1963;rui.41.matias@gmail.com;919357498
Diana Débora Machado Araújo;09-11-1989;diana.542.dora@microsoft.com;941874901
Rúben Gonçalo Faria Rodrigues;13-02-1975;ren.516.gonlo@microsoft.com;967353782
Pedro Ricardo Miranda Figueiredo;20-01-1977;pedro.234.ricardo@outlook.com;902767047
Rúben José Rodrigues Fernandes;02-06-2000;ren.679.jos@outlook.com;927719104
Rafaela Débora Rodrigues Pinheiro;03-08-1981;rafaela.871.dora@hotmail.com;961539450
Rúben Duarte Monteiro Castro;27-07-1951;ren.974.duarte@microsoft.com;955578518
Tiago Rui Monteiro Magalhães;26-07-1999;tiago.80.rui@gmail.com;957894155
Juliana Ana Alves Jesus;18-10-2001;juliana.135.ana@outlook.com;902392616
Gonçalo José Pinto Barros;23-12-1965;gonlo.389.jos@microsoft.com;987311295
Bruna Alice Henriques Barbosa;01-05-1966;bruna.922.alice@hotmail.com;936124233
Henrique Carlos Antunes Mendes;16-09-2000;henrique.695.carlos@hotmail.com;919683046
Matilde Diana Ferreira Mendes;06-11-1976;matilde.687.diana@outlook.com;941242869
Lara Teresa Pinto Fonseca;08-10-1950;lara.652.teresa@hotmail.com;902263952
Eva Joana Miranda Cunha;21-12-1966;eva.211.joana@outlook.com;995446301
Débora Clara Machado Raposo;03-08-2004;dora.502.clara@hotmail.com;997852144
Mariana Eva Ribeiro Mendes;01-11-1950;mariana.989.eva@microsoft.com;915553851
Rui António Ribeiro Rodrigues;07-07-1986;rui.461.antio@hotmail.com;920206931
Diogo Bernardo Moreira Azevedo;23-05-2005;diogo.830.bernardo@hotmail.com;924650781
Juliana Rosa Teixeira Simões;22-07-1969;juliana.222.rosa@outlook.com;970656068
João Alexandre Azevedo Raposo;19-09-1987;jo.581.alexandre@microsoft.com;966667399
Isabel Rita Lopes Jesus;06-10-1954;isabel.156.rita@microsoft.com;937715963
